İsim,Adres,Telefon
Veysel Dayının Yeri,Adres yok,Numara yok
midpoint,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Erzurum Cağ Kebabı,Adres yok,Numara yok
Namık Usta,Adres yok,Numara yok
Pidem,Adres yok,Numara yok
Soğuk Su Restorant,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Köfteci Yusuf,Adres yok,Numara yok
Özler Lezzet Pazarı,Adres yok,0 262 323 75 75
Balıkçı Selim,Adres yok,Numara yok
